OrderID,OrderQuantity,OrderValue,Country,Industry,Deal Status
OD16197,3329,25090,Japan,Manufacturing,Won
OD16197,1340,3687,Japan,Manufacturing,Won
OD16197,870,29682,Japan,Energy,Won
OD16197,2608,38441,Japan,Government,Won
OD16197,3078,26467,Japan,Government,Won
OD16197,4157,2659,Japan,Energy,Pending
OD16197,4291,30880,Japan,Technology,Pending
OD16197,2243,38415,Japan,Finance,Pending
OD16197,2869,46979,Japan,Manufacturing,Pending
OD16197,4116,47573,Japan,Manufacturing,Pending
OD16197,925,6240,Japan,Manufacturing,Pending
OD16197,271,10252,Japan,Energy,Pending
OD16197,3217,39481,Japan,Government,Won
OD16197,540,46389,Japan,Government,Won
OD16197,405,45177,Japan,Energy,Won
OD16197,685,3640,Japan,Technology,Won
OD16197,4803,40036,Japan,Finance,Won
OD16197,4712,28455,Japan,Manufacturing,Won
OD16197,3131,35660,Japan,Manufacturing,Lost
OD16197,3013,45926,Japan,Manufacturing,Lost
OD16197,4095,20810,Japan,Energy,Lost
OD16197,2452,15930,Japan,Government,Lost
OD16197,2494,31224,Japan,Government,Lost
OD37467,3,727,Spain,Energy,Pending
OD37467,2514,22861,Spain,Technology,Pending
OD37467,3638,14737,Spain,Finance,Pending
OD37467,3227,48243,Spain,Manufacturing,Pending
OD37467,328,46636,Spain,Manufacturing,Lost
OD37467,3157,440,Spain,Manufacturing,Won
OD37467,2640,49540,Spain,Energy,Won
OD37467,1255,15118,Spain,Government,Won
OD37467,3934,31395,Spain,Government,Won
OD37467,4522,34933,Spain,Energy,Won
OD37467,797,27664,Spain,Technology,Won
OD37467,2063,16286,Spain,Finance,Won
OD37467,2503,41329,Spain,Manufacturing,Won
OD37467,1819,32004,Spain,Manufacturing,Won
OD37467,2928,19186,Spain,Manufacturing,Won
OD37467,4505,12349,Spain,Energy,Won
OD37467,3636,3052,Spain,Government,Lost
OD37467,2435,7002,Spain,Government,Lost
OD37467,4216,40681,Spain,Energy,Lost
OD37467,4977,10370,Spain,Technology,Lost
OD37467,1682,24327,Spain,Finance,Lost
OD37467,1001,31272,Spain,Manufacturing,Lost
OD37467,4325,10189,Spain,Manufacturing,Lost
OD28595,20,21770,UK,Manufacturing,Won
OD28595,2054,13274,UK,Energy,Won
OD28595,3378,131,UK,Government,Pending
OD28595,1346,3719,UK,Government,Pending
OD28595,4061,42278,UK,Energy,Pending
OD28595,3613,2721,UK,Technology,Won
OD28595,2804,16088,UK,Finance,Lost
OD28595,2533,28035,UK,Manufacturing,Lost
OD28595,3016,4564,UK,Manufacturing,Lost
OD28595,1198,24684,UK,Manufacturing,Won
OD28595,3088,2037,UK,Energy,Won
OD28595,1674,40625,UK,Government,Won
OD28595,2464,22366,UK,Government,Won
OD28595,3984,32422,UK,Energy,Won
OD23259,10,12906,USA,Technology,Won
OD34799,2431,22747,USA,Finance,Won
OD38231,1160,11728,USA,Manufacturing,Won
OD38231,3336,2883,USA,Manufacturing,Won
OD37467,2096,17902,USA,Manufacturing,Lost
OD37467,3439,40666,USA,Energy,Lost
OD11290,2947,39041,USA,Government,Won
OD37467,3694,27353,USA,Government,Lost
OD18295,3977,4732,USA,Energy,Pending
OD28196,1500,28810,USA,Technology,Pending
